date,name,category,value
2015-01-01,Apple,Technology,170276
2015-01-01,Google,Technology,120314
2015-01-01,Coca-Cola,Beverages,78423
2015-01-01,Microsoft,Technology,67670
2015-01-01,IBM,Business Services,65095
2015-01-01,Toyota,Automotive,49048
2015-01-01,Samsung,Technology,45297
2015-01-01,GE,Diversified,42267
2015-01-01,McDonald's,Restaurants,39809
2015-01-01,Amazon,Technology,37948
2015-01-01,BMW,Automotive,37212
2015-01-01,Mercedes-Benz,Automotive,36711
2015-01-01,Disney,Media,36514
2015-01-01,Intel,Technology,35415
2015-01-01,Cisco,Business Services,29854
2015-01-01,Oracle,Business Services,27283
2015-01-01,Nike,Sporting Goods,23070
2015-01-01,HP,Electronics,23056
2015-01-01,Honda,Automotive,22975
2015-01-01,Louis Vuitton,Luxury,22250
2015-01-01,H&M,Apparel,22222
2015-01-01,Gillette,FMCG,22218
2015-01-01,Facebook,Technology,22029
2015-01-01,Pepsi,Beverages,19622
2015-01-01,American Express,Financial Services,18922
2015-01-01,SAP,Business Services,18768
2015-01-01,IKEA,Retail,16541
2015-01-01,Pampers,FMCG,15267
2015-01-01,UPS,Logistics,14723
2015-01-01,Zara,Apparel,14031
2015-01-01,Budweiser,Alcohol,13943
2015-01-01,eBay,Retail,13940
2015-01-01,J.P. Morgan,Financial Services,13749
2015-01-01,Kellogg's,FMCG,12637
2015-01-01,Volkswagen,Automotive,12545
2015-01-01,NESCAFÉ,Beverages,12257
2015-01-01,HSBC,Financial Services,11656
2015-01-01,Ford,Automotive,11578
2015-01-01,Hyundai,Automotive,11293
2015-01-01,Canon,Electronics,11278
2015-01-01,Hermès,Luxury,10944
2015-01-01,Accenture,Business Services,10800
2015-01-01,L'Oréal,FMCG,10798
2015-01-01,Audi,Automotive,10328
2015-01-01,Citi,Financial Services,9784
2015-01-01,Goldman Sachs,Financial Services,9526
2015-01-01,Philips,Electronics,9400
2015-01-01,AXA,Financial Services,9254
2015-01-01,Nissan,Automotive,9082
2015-01-01,Gucci,Luxury,8882
2015-01-01,Danone,FMCG,8632
2015-01-01,Nestlé,FMCG,8588
2015-01-01,Siemens,Diversified,8553
2015-01-01,Allianz,Financial Services,8498
2015-01-01,Colgate,FMCG,8464
2015-01-01,Porsche,Automotive,8055
2015-01-01,Cartier,Luxury,7924
2015-01-01,Sony,Electronics,7702
2015-01-01,3M,Diversified,7243
2015-01-01,Morgan Stanley,Financial Services,7083
2015-01-01,Visa,Financial Services,6870
2015-01-01,adidas,Sporting Goods,6811
2015-01-01,Thomson Reuters,Media,6583
2015-01-01,Discovery,Media,6509
2015-01-01,Panasonic,Electronics,6436
2015-01-01,Tiffany & Co.,Luxury,6306
2015-01-01,Starbucks,Restaurants,6266
2015-01-01,Adobe,Business Services,6257
2015-01-01,Prada,Luxury,6222
2015-01-01,Banco Santander,Financial Services,6097
2015-01-01,Xerox,Business Services,6033
2015-01-01,Caterpillar,Diversified,5976
2015-01-01,Burberry,Luxury,5873
2015-01-01,Kia,Automotive,5666
2015-01-01,KFC,Restaurants,5639
2015-01-01,Mastercard,Financial Services,5551
2015-01-01,Johnson & Johnson,FMCG,5533
2015-01-01,Shell,Energy,5530
2015-01-01,Harley-Davidson,Automotive,5460
2015-01-01,DHL,Logistics,5391
2015-01-01,Sprite,Beverages,5365
2015-01-01,LEGO,FMCG,5362
2015-01-01,John Deere,Diversified,5208
2015-01-01,Jack Daniel's,Alcohol,5161
2015-01-01,Chevrolet,Automotive,5133
2015-01-01,FedEx,Logistics,5130
2015-01-01,Land Rover,Automotive,5109
2015-01-01,Huawei,Technology,4952
2015-01-01,Heineken,Alcohol,4822
2015-01-01,MTV,Media,4763
2015-01-01,Ralph Lauren,Apparel,4629
2015-01-01,Johnnie Walker,Alcohol,4540
2015-01-01,Corona,Alcohol,4456
2015-01-01,Smirnoff,Alcohol,4407
2015-01-01,Kleenex,FMCG,4330
2015-01-01,Hugo Boss,Apparel,4270
