year,Type,Company,value,lastValue,Male,White,Asian,Latino,Black,Multi,Other,Undeclared
2016,Social Media,Facebook,33,32,67,53,38,4,2,3, -   ,
2016,Social Media,Instagram,31,31,69,57,34,4,2,3, -   ,
2016,Social Media,Google+,30,30,70,60,31,3,2,3,1,
2016,Social Media,YouTube,30,30,70,61,30,3,2,4, -   ,
2016,Social Media,LinkedIn,42,42,58,56,37,4,2,1, -   ,
2016,Social Media,Pinterest,40,40,60,50,42,2,1,,5,
2016,Social Media,Tumblr,37,37,62,50,39,4,2,2,2,1
2016,Social Media,Flickr,37,37,62,50,39,4,2,2,2,1
2016,Social Media,Twitter,34,30,56,59,29,3,2,3,4,
2016,Tech,Yahoo!,37,37,62,47,43,4,2,2,3,
2016,Tech,Google,31,30,69,59,32,3,2,3,1,
2016,Tech,Apple,32,31,68,56,19,12,9,2,1,2
2016,Tech,Cisco,23,23,77,54,,,,,,
2016,Tech,eBay,43,43,57,60,25,5,8,1,1,
2016,Tech,HP,33,33,67,72,6,14,7,1, -   ,
2016,Tech,Indiegogo,45,45,55,64,23,8,2,,3,
2016,Tech,Nvidia,16.05,16.05,83.95,38,44,3,1,14, -   ,
2016,Tech,Dell,30,30,70.45,68.65,9.11,11.14,10.04,,0.97,
2016,Tech,Ingram Micro,42,42,58.22,63.03,10.52,15.7,10.13,,0.48,
2016,Tech,Intel,25,25,75.44,60.81,26.05,8.63,3.61,,0.93,
2016,Tech,Groupon,47,47,53,71,15,5,4,,4,
2016,Tech,Amazon,37,37,63,60,13,9,15,,3,
2016,Tech,Etsy,51,51,49,79,11,4,3,3,,
2016,Tech,Microsoft,28,28,72,59,28.9,5.1,3.5,1.2,0.8,
2016,Tech,Salesforce,29,29,71,67,22,4,2,2,3,
2016,Tech,Pandora,49,49,51,71,12,7,3,6,1,
2016,Tech,Uber,36.1,0,63.9,49.8,30.9,5.6,8.8,4.3,0.6,
2017,Social Media,Facebook,35,33,65,49,40,5,3,3,1,
2017,Social Media,Instagram,35,31,65,49,40,5,3,3,1,
2017,Social Media,Google+,31,30,69,56,35,4,2,4,1,
2017,Social Media,YouTube,31,30,69,56,35,4,2,4,1,
2017,Social Media,LinkedIn,42,52,58,52,39,4,4,2, -   ,
2017,Social Media,Pinterest,45,40,55,48,41,6,3,2,1,
2017,Social Media,Tumblr,37,37,63,45,44,4,2,2,3,
2017,Social Media,Flickr,37,37,63,45,44,4,2,2,3,
2017,Social Media,Twitter,37,34,63,57,32,4,3,3,1,
2017,Tech,Yahoo!,37,37,63,45,44,4,2,2,3,
2017,Tech,Google,31,31,69,56,35,4,2,4,1,
2017,Tech,Apple,32,32,68,54,21,13,9,3,1,2
2017,Tech,Cisco,24,23,76,53,37,5,4,1, -   ,
2017,Tech,eBay,38,43,62,52,40,4,2,1,1,
2017,Tech,HP,37,33,63,73,12,8,4,2,1,
2017,Tech,Indiegogo,50,45,50,58,28,7,4,,3,
2017,Tech,Nvidia,17,16.05,83,37,45,3,1,14, -   ,
2017,Tech,Dell,28,30,72,68.65,9.11,11.14,10.04,,0.97,
2017,Tech,Ingram Micro,31,42,69,52,14,19,14,1, -   ,
2017,Tech,Intel,26,25,73.9,48,38,9,4,1, -   ,
2017,Tech,Groupon,44,47,56,62,20,8,8,,3,
2017,Tech,Amazon,39,37,61,48,13,13,21,,5,
2017,Tech,Etsy,54,51,46,79,10,4,3,4, -   ,
2017,Tech,Microsoft,26,28,74,56,31,6,4,2, -   ,
2017,Tech,Salesforce,31,29,69,65,24,4,3,3, -   ,2
2017,Tech,Pandora,49,49,51,65,16,8,5,5,1,
2017,Tech,Uber,36.1,36.1,63.9,49.8,30.9,5.6,8.8,4.3,0.6,
2015,Social Media,Facebook,32,0,68,55,36,4,2,3, -   ,
2015,Social Media,Instagram,31,0,69,57,34,4,2,3, -   ,
2015,Social Media,Google+,30,0,70,60,31,3,2,3,1,
2015,Social Media,YouTube,30,0,70,61,30,3,2,4, -   ,
2015,Social Media,LinkedIn,42,0,58,56,37,4,2,1, -   ,
2015,Social Media,Pinterest,40,0,60,50,42,2,1,,5,
2015,Social Media,Tumblr,37,0,62,50,39,4,2,2,2,1
2015,Social Media,Flickr,37,0,62,50,39,4,2,2,2,1
2015,Social Media,Twitter,30,0,70,59,29,3,2,3,4,
2015,Tech,Yahoo!,37,0,62,50,39,4,2,2,2,1
2015,Tech,Google,30,0,70,60,31,3,2,3,1,
2015,Tech,Apple,31,0,69,54,18,11,8,2,1,6
2015,Tech,Cisco,23,0,77,54,,,,,,
2015,Tech,eBay,43,0,57,60,25,5,8,1,1,
2015,Tech,HP,33,0,67,72,6,14,7,1, -   ,
2015,Tech,Indiegogo,0,45,55,64,23,8,2,,3,
2015,Tech,Nvidia,16.05,0,83.95,38,44,3,1,14, -   ,
2015,Tech,Dell,30,0,70.45,68.65,9.11,11.14,10.04,,0.97,
2015,Tech,Ingram Micro,42,0,58.22,63.03,10.52,15.7,10.13,,0.48,
2015,Tech,Intel,25,0,75.44,60.81,26.05,8.63,3.61,,0.93,
2015,Tech,Groupon,47,0,53,71,15,5,4,,4,
2015,Tech,Amazon,37,0,63,60,13,9,15,,3,
2015,Tech,Etsy,51,0,49,79,11,4,3,3, -   ,
2015,Tech,Microsoft,28,0,72,59,28.9,5.1,3.5,1.2,0.8,
2015,Tech,Salesforce,29,0,71,67,22,4,2,2,3,
2015,Tech,Pandora,49,0,51,71,12,7,3,6,1,
2018,Social Media,Facebook,35,35,65,49,40,5,3,3,1,
2018,Social Media,Instagram,35,35,65,49,40,5,3,3,1,
2018,Social Media,Google+,31,31,69,56,35,4,2,4,1,
2018,Social Media,YouTube,31,31,69,56,35,4,2,4,1,
2018,Social Media,LinkedIn,42,42,58,52,39,4,4,2, -   ,
2018,Social Media,Pinterest,45,45,55,48,41,6,3,2,1,
2018,Social Media,Tumblr,37,37,63,45,44,4,2,2,3,
2018,Social Media,Flickr,37,37,63,45,44,4,2,2,3,
2018,Social Media,Twitter,38.4,37,61.6,43.5,25.8,3.4,3.4,2.7,,21.1
2018,Tech,Yahoo!,37,37,63,45,44,4,2,2,3,
2018,Tech,Google,31,31,69,53,36,4,3,4, -   ,
2018,Tech,Apple,32,32,68,54,21,13,9,3,1,2
2018,Tech,Cisco,24,24,76,53,37,5,4,1, -   ,
2018,Tech,eBay,40,38,60,50,39,6,3,1,1,
2018,Tech,HP,37,37,63,73,12,8,4,2,1,
2018,Tech,Indiegogo,50,50,50,58,28,7,4,,3,
2018,Tech,Nvidia,17,17,83,37,45,3,1,14, -   ,
2018,Tech,Dell,28,28,72,68.65,9.11,11.14,10.04,,0.97,
2018,Tech,Ingram Micro,31,31,69,52,14,19,14,1, -   ,
2018,Tech,Intel,26.5,26,73.5,47.8,38.5,8.8,4,0.2,0.7,
2018,Tech,Groupon,44,44,56,62,20,8,8,,3,
2018,Tech,Amazon,39,39,61,48,13,13,21,,5,
2018,Tech,Etsy,54,42,46,79,10,4,3,4, -   ,
2018,Tech,Microsoft,26,26,74,56,31,6,4,2,1,
2018,Tech,Salesforce,30.9,31.69,68.7,64.69,23.87,3.9,2.53,2.56,0.1,1.98
2018,Tech,Pandora,49,49,51,65,16,8,5,5,1,
2018,Tech,Uber,38,36.1,62,48.6,32.3,6.1,8.1,4.3,0.7,
2018,Tech,Slack,44.7,0,55.3,58.7,24.4,6.9,4.9,4.4,0.7,
2018,Tech,AirBnB,41.15,0,59,49.81,36.36,7.44,3.45,2.52,0.5,
2018,Tech,Netflix,43,0,57,49,24,6,4,,4,13
2018,Tech,Yelp,54,0,46,62,15,10,6,5,2,
